<Covariate>
<Trait>	Q1	Q2	Q3
117429	0.928	0.050	0.022
117459	0.997	0.001	0.002
117545	0.146	0.836	0.018
117598	0.212	0.775	0.013
120851	0.906	0.090	0.004
120893	0.031	0.965	0.004
120934	0.996	0.002	0.002
120935	0.955	0.040	0.005
120953	0.996	0.003	0.002
120961	0.995	0.002	0.003
120969	0.978	0.005	0.017
120971	0.011	0.952	0.037
120972	0.006	0.992	0.002
120974	0.012	0.955	0.033
120976	0.003	0.973	0.024
120977	0.002	0.995	0.003
120978	0.996	0.003	0.002
120984	0.005	0.988	0.007
120999	0.960	0.015	0.025
121001	0.009	0.981	0.010
121007	0.996	0.002	0.001
121046	0.948	0.043	0.008
121055	0.931	0.054	0.015
121060	0.993	0.004	0.002
121071	0.899	0.094	0.007
121076	0.006	0.977	0.017
121078	0.995	0.003	0.002
121085	0.022	0.932	0.046
121094	0.122	0.856	0.023
121099	0.079	0.905	0.016
121133	0.186	0.644	0.169
121152	0.017	0.968	0.015
121156	0.015	0.977	0.008
121158	0.008	0.963	0.029
121193	0.002	0.004	0.994
121197	0.997	0.002	0.001
121201	0.039	0.953	0.008
121213	0.007	0.258	0.735
121220	0.993	0.005	0.002
121267	0.002	0.147	0.851
121275	0.006	0.175	0.819
121277	0.401	0.590	0.008
121278	0.002	0.023	0.975
121291	0.220	0.557	0.223
121292	0.007	0.225	0.767
121293	0.003	0.002	0.995
121300	0.002	0.072	0.926
121324	0.925	0.054	0.020
121334	0.007	0.162	0.831
121354	0.002	0.323	0.674
121363	0.030	0.015	0.956
121368	0.003	0.012	0.985
121380	0.730	0.077	0.193
121387	0.009	0.963	0.028
121411	0.009	0.965	0.026
121453	0.003	0.075	0.922
121497	0.022	0.646	0.332
121506	0.147	0.849	0.004
121524	0.008	0.011	0.982
121528	0.004	0.981	0.015
121548	0.018	0.397	0.585
121554	0.004	0.291	0.706
121572	0.013	0.158	0.829
121588	0.993	0.004	0.003
121600	0.001	0.006	0.992
121605	0.995	0.001	0.004
121608	0.002	0.988	0.010
121611	0.025	0.968	0.007
121615	0.004	0.993	0.004
121617	0.042	0.934	0.024
121621	0.049	0.947	0.004
121633	0.005	0.328	0.667
121636	0.190	0.701	0.109
121646	0.002	0.004	0.994
121659	0.141	0.797	0.062
121670	0.001	0.006	0.992
121694	0.002	0.006	0.992
121697	0.001	0.008	0.991
121699	0.002	0.007	0.992
121732	0.002	0.007	0.991
121734	0.012	0.065	0.922
121735	0.004	0.013	0.982
121746	0.002	0.034	0.964
121748	0.010	0.922	0.069
121753	0.030	0.959	0.011
121755	0.001	0.063	0.936
121756	0.012	0.669	0.319
121759	0.019	0.968	0.013
121760	0.011	0.978	0.011
121761	0.007	0.018	0.975
121771	0.005	0.990	0.005
121781	0.003	0.112	0.885
121782	0.002	0.059	0.939
121794	0.005	0.008	0.988
121805	0.002	0.134	0.863
121809	0.004	0.010	0.987
121826	0.005	0.907	0.088
121827	0.017	0.980	0.003
121832	0.288	0.694	0.018
121838	0.002	0.009	0.989
121843	0.003	0.016	0.981
121849	0.016	0.961	0.023
121850	0.005	0.978	0.017
121858	0.010	0.973	0.017
121859	0.002	0.010	0.988
121872	0.050	0.879	0.071
121880	0.008	0.986	0.006
121884	0.036	0.943	0.021
